Course Code,Professor,Quarter,Enrolled Count,Course Rec %,Prof Rec %,Hours/Week,Grade
,"Ball, Ian James                    ",SU08,19,50.0%,56.3%,12.50,N/A
,"Feng, Da Fei                  ",SP08,85,71.4%,84.3%,10.28,B- (2.98)
,"Feng, Da Fei                  ",WI08,70,59.7%,71.0%,10.02,B (3.20)
,"Feng, Da Fei                  ",FA07,83,53.2%,65.8%,11.28,B (3.13)
,"Ball, Ian James               ",SU07,17,53.3%,100.0%,16.15,N/A
CHEM 112A,"Crowley, Thomas E.                 ",WI10,20,100.0%,100.0%,6.30,B+ (3.31)
,"Crowley, Thomas E.                 ",WI10,33,71.4%,92.9%,8.64,B+ (3.31)
,"Crowley, Thomas E.                 ",WI09,30,95.7%,78.3%,6.92,B+ (3.45)
,"Crowley, Thomas E.                 ",WI09,28,78.6%,78.6%,8.23,B+ (3.45)
,"Crowley, Thomas E.                 ",FA08,26,81.3%,87.5%,6.75,B+ (3.39)
,"Crowley, Thomas E.                 ",WI08,22,80.0%,85.0%,6.86,B+ (3.31)
,"Crowley, Thomas E.                 ",FA07,31,87.0%,91.3%,5.89,B+ (3.50)
,"Crowley, Thomas E.            ",FA09,30,94.7%,94.7%,6.40,B (3.30)
,"Crowley, Thomas E.            ",FA09,33,92.3%,100.0%,8.10,B (3.30)
,"Crowley, Thomas E.            ",FA08,14,100.0%,81.8%,6.32,N/A
,"Jennings, Patricia A.              ",FA09,30,91.7%,91.7%,6.00,B (3.30)
,"Jennings, Patricia A.              ",FA09,33,93.3%,86.7%,8.63,B (3.30)
,"Jennings, Patricia A.         ",FA08,26,84.6%,100.0%,6.88,B+ (3.39)
,"Jennings, Patricia A.         ",FA08,14,100.0%,90.9%,6.32,N/A
CHEM 112B,"Crowley, Thomas E.                 ",SP10,28,82.4%,100.0%,9.68,B+ (3.53)
,"Crowley, Thomas E.                 ",SP09,31,90.9%,68.2%,5.32,B+ (3.39)
,"Crowley, Thomas E.                 ",SP09,34,90.0%,80.0%,7.10,B+ (3.39)
,"Crowley, Thomas E.                 ",SP08,24,73.7%,36.8%,8.94,B+ (3.38)
,"Crowley, Thomas E.                 ",SP08,29,88.9%,83.3%,8.61,B+ (3.38)
,"Ghosh, Gourisankar                 ",SP10,28,90.9%,81.8%,7.05,B+ (3.38)
,"Ghosh, Gourisankar                 ",SP09,31,94.1%,82.4%,5.21,B+ (3.32)
,"Ghosh, Gourisankar",SP09,34,75.0%,30.0%,8.00,B+ (3.32)
CHEM 123,"Schimpf, Alina M",SP21,15,85.7%,85.7%,7.64,N/A
,"Schimpf, Alina M",SP19,14,100.0%,100.0%,6.50,N/A
,"Sailor, Michael Joseph",SP18,14,88.9%,100.0%,3.17,N/A
,"Sailor, Michael Joseph",SP17,14,85.7%,100.0%,6.21,N/A
,"Sailor, Michael Joseph",SP16,15,100.0%,100.0%,4.50,N/A
,"Sailor, Michael Joseph",WI15,12,100.0%,100.0%,3.30,N/A
,"Sailor, Michael Joseph",WI13,10,100.0%,66.7%,8.50,N/A
,"Sailor, Michael Joseph             ",WI12,10,100.0%,100.0%,4.50,N/A
,"Sailor, Michael Joseph             ",WI11,10,100.0%,100.0%,6.25,N/A
,"Sailor, Michael Joseph             ",SP10,10,100.0%,100.0%,6.17,N/A
,"Sailor, Michael Joseph             ",WI10,9,100.0%,100.0%,4.50,N/A
CHEM 124,"Cohen, Seth M                      ",SP10,33,73.7%,94.7%,5.72,C+ (2.58)
,"Tezcan, Faik                       ",SP09,27,85.7%,85.7%,5.86,C+ (2.44)
,"Tezcan, Faik                       ",SP08,39,69.7%,93.9%,5.62,B- (2.81)
,"Cohen, Seth M                 ",SP08,39,69.7%,93.9%,5.62,B- (2.81)
CHEM 125,"Tezcan, Faik",WI21,27,100.0%,100.0%,4.50,B (3.23)
,"Tezcan, Faik",WI20,35,81.3%,87.5%,4.63,B- (2.98)
,"Tezcan, Faik",WI19,15,85.7%,100.0%,4.21,N/A
,"Tezcan, Faik",WI18,16,75.0%,100.0%,5.75,N/A
,"Tezcan, Faik",SP17,21,81.8%,90.9%,6.30,B- (2.97)
,"Tezcan, Faik",SP16,12,88.9%,88.9%,5.61,N/A
,"Tezcan, Faik",WI15,10,100.0%,100.0%,8.50,N/A
,"Tezcan, Faik",SP13,44,66.7%,73.3%,7.17,C+ (2.52)
,"Cohen, Seth M",WI19,16,85.7%,100.0%,4.21,N/A
,"Cohen, Seth M",SP17,21,83.3%,91.7%,6.32,B- (2.97)
,"Cohen, Seth M",SP16,11,90.0%,100.0%,5.50,N/A
,"Cohen, Seth M                      ",SP12,26,90.9%,90.9%,5.41,B- (2.88)
,"Cohen, Seth M                      ",SP11,15,90.0%,100.0%,5.83,N/A
,"Cohen, Seth M                      ",SP10,33,73.7%,94.7%,5.72,C+ (2.58)
,"Tezcan, Faik                  ",SP12,26,90.0%,60.0%,5.50,B- (2.88)
,"Tezcan, Faik                  ",SP11,15,90.0%,100.0%,5.83,N/A
,"Tezcan, Faik                       ",SP09,27,85.7%,85.7%,5.86,C+ (2.44)
,"Tezcan, Faik                       ",SP08,39,69.7%,93.9%,5.62,B- (2.81)
,"Cohen, Seth M                 ",SP08,39,69.7%,93.9%,5.62,B- (2.81)
CHEM 126,"Crowell, John E",SP19,64,63.6%,59.1%,9.14,B- (2.98)
,"Crowell, John E",SP18,57,64.3%,76.9%,9.30,B- (2.99)
,"Crowell, John E",SP17,63,77.8%,92.6%,6.58,B (3.02)
,"Crowell, John E",SP16,44,73.3%,80.0%,8.23,B- (2.97)
,"Crowell, John E",SP15,63,56.0%,48.0%,6.95,C+ (2.59)
,"Paesani, Francesco",WI19,172,77.5%,93.1%,8.50,B- (2.70)
,"Paesani, Francesco",WI18,163,82.1%,98.5%,7.49,B- (2.83)
,"Paesani, Francesco",WI16,130,78.9%,94.7%,7.94,B- (2.84)
,"Paesani, Francesco",WI15,149,64.5%,90.3%,8.57,C+ (2.58)
,"Xiong, Wei",WI17,153,38.0%,58.0%,8.50,B- (2.88)
,"Kim, Judy E.",FA13,268,65.7%,89.9%,8.77,C+ (2.66)
,"Kim, Judy E.",FA12,301,78.6%,92.0%,8.06,C+ (2.61)
,"Kim, Judy E.                       ",WI12,219,72.5%,91.2%,8.75,C+ (2.69)
,"Crowell, John E                    ",WI11,164,55.9%,67.6%,8.21,C+ (2.61)
,"Crowell, John E                    ",FA09,161,69.0%,79.3%,8.44,C+ (2.54)
,"Crowell, John E                    ",FA08,35,38.5%,84.6%,6.81,C+ (2.59)
,"Crowell, John E                    ",FA08,130,70.5%,91.0%,5.97,C+ (2.59)
,"Crowell, John E               ",FA07,201,68.6%,91.9%,6.97,C+ (2.53)
CHEM 4,"Bussey, Thomas J",FA21,406,91.3%,95.1%,5.74,B- (2.85)
,"Bussey, Thomas J",S221,15,60.0%,60.0%,10.10,N/A
,"Hoeger, Carl",FA20,393,84.7%,76.4%,6.28,B (3.18)
,"Hoeger, Carl",FA19,343,75.3%,74.9%,6.29,B- (2.83)
,"Hoeger, Carl",FA18,332,75.0%,75.9%,6.18,B- (2.96)
,"Hoeger, Carl",FA17,310,76.8%,78.5%,6.78,B- (2.92)
,"Hoeger, Carl",FA16,235,85.7%,86.5%,6.96,B- (2.75)
,"Hoeger, Carl",FA15,245,88.9%,89.6%,6.89,B- (2.96)
,"Hoeger, Carl",FA14,304,88.9%,91.7%,6.12,B- (2.76)
,"Hoeger, Carl",FA13,346,89.0%,90.0%,6.77,B- (2.80)
,"Hoeger, Carl",FA12,318,91.1%,86.9%,6.74,B (3.04)
,"Hoeger, Carl                       ",FA11,295,87.9%,84.3%,7.58,B- (2.87)
,"Hoeger, Carl                       ",FA10,307,95.7%,95.7%,9.31,B (3.01)
,"Hoeger, Carl                       ",FA09,297,95.1%,95.9%,5.70,B- (2.85)
,"Hoeger, Carl                       ",FA08,238,96.1%,98.9%,5.76,B- (2.89)
,"Hoeger, Carl                  ",FA07,243,94.0%,96.0%,5.12,B (3.06)
,"Ternansky, Robert J.          ",SU07,6,100.0%,100.0%,5.50,N/A
CHEM 40C,"Ternansky, Robert J.",FA21,76,57.6%,63.6%,8.63,C+ (2.53)
,"Ternansky, Robert J.",S221,52,71.4%,57.1%,13.36,B- (2.71)
,"Ternansky, Robert J.",SP21,215,61.7%,68.1%,8.42,B- (2.93)
,"Ternansky, Robert J.",FA20,163,44.7%,51.3%,9.89,B- (2.71)
,"Ternansky, Robert J.",S120,58,64.3%,57.1%,12.07,C+ (2.70)
,"Ternansky, Robert J.",SP20,163,70.9%,70.9%,10.03,B (3.09)
,"Ternansky, Robert J.",FA19,135,76.4%,87.3%,7.98,B- (2.70)
,"Ternansky, Robert J.",S119,43,100.0%,92.3%,11.88,B- (2.82)
,"Ternansky, Robert J.",SP19,142,75.9%,92.9%,8.15,B- (2.72)
,"Ternansky, Robert J.",S218,56,83.3%,75.0%,13.58,B- (2.83)
,"Ternansky, Robert J.",SP18,124,90.4%,94.2%,8.62,B- (2.84)
,"Albizati, Kim F.",S121,142,83.3%,100.0%,8.82,B- (2.80)
,"Albizati, Kim F.",FA18,352,78.5%,93.3%,8.63,C+ (2.68)
,"Albizati, Kim F.",FA17,277,77.7%,92.8%,7.69,B- (2.72)
,"Romero, Nathan A",SP21,337,74.3%,87.1%,7.83,B (3.22)
,"Godula, Kamil",WI21,388,72.2%,85.8%,8.23,B+ (3.44)
,"Godula, Kamil",WI20,322,80.8%,93.4%,8.09,B+ (3.30)
,"Godula, Kamil",WI19,189,86.9%,96.4%,7.58,B- (2.89)
,"Godula, Kamil",WI18,201,75.4%,87.4%,8.23,B- (2.80)
,"Klosterman, Jeremy K",S220,75,78.9%,91.2%,11.55,B- (2.80)
,"Klosterman, Jeremy K",S219,54,78.3%,82.6%,9.46,C+ (2.67)
,"Klosterman, Jeremy K",S118,47,76.9%,92.3%,14.04,B- (2.87)
,"Hoeger, Carl",SP20,313,76.5%,69.7%,9.10,B+ (3.49)
,"Hoeger, Carl",SP19,368,65.1%,73.0%,8.75,B- (2.82)
,"Hoeger, Carl",SP18,261,64.4%,76.7%,8.98,B- (2.86)
CHEM 40B,"Theodorakis, Emmanuel",FA21,320,65.4%,87.7%,7.77,B- (2.75)
,"Theodorakis, Emmanuel",FA20,303,65.1%,78.4%,7.96,B- (2.73)
,"Theodorakis, Emmanuel",FA18,360,81.0%,85.1%,7.64,C+ (2.42)
,"Theodorakis, Emmanuel",FA17,135,80.0%,86.2%,8.78,C+ (2.67)
,"Klosterman, Jeremy K",S221,53,83.8%,91.9%,10.28,C+ (2.53)
,"Klosterman, Jeremy K",WI21,302,81.6%,88.6%,8.59,B- (2.99)
,"Klosterman, Jeremy K",S220,80,80.3%,87.3%,10.30,B- (2.74)
,"Klosterman, Jeremy K",WI20,298,80.7%,93.5%,8.56,B- (2.87)
,"Klosterman, Jeremy K",S219,54,64.3%,76.9%,11.93,C+ (2.53)
,"Weizman, Haim",S121,119,55.0%,90.0%,9.74,B- (2.75)
,"Weizman, Haim",S120,90,79.2%,95.8%,9.08,B (3.27)
,"Weizman, Haim",FA19,307,80.1%,92.9%,8.15,B- (2.71)
,"Weizman, Haim",S119,88,79.2%,91.3%,8.17,B- (2.75)
,"Weizman, Haim",SP19,301,81.2%,91.2%,7.44,B- (2.86)
,"Weizman, Haim",WI19,351,80.5%,92.7%,7.61,B- (2.99)
,"Weizman, Haim",S118,144,80.0%,86.7%,11.03,B- (2.88)
,"Weizman, Haim",SP18,386,72.7%,82.4%,7.99,B- (2.75)
,"Weizman, Haim",WI18,272,83.5%,91.7%,8.42,C+ (2.69)
,"Weizman, Haim",FA17,224,92.4%,91.1%,7.23,B- (2.79)
,"Hoeger, Carl",SP21,137,73.0%,70.3%,9.42,B- (2.70)
,"Hoeger, Carl",WI21,280,61.9%,65.7%,9.17,B (3.06)
,"Hoeger, Carl",WI20,188,63.8%,75.9%,9.02,B (3.26)
,"Hoeger, Carl",WI19,205,85.2%,88.6%,8.35,C+ (2.70)
,"Hoeger, Carl",WI18,168,83.8%,96.2%,8.70,B- (2.81)
,"Molinski, Tadeusz",SP21,12,33.3%,66.7%,5.17,N/A
,"Molinski, Tadeusz",SP18,101,43.3%,30.0%,8.69,C+ (2.42)
,"Schmidt, Valerie A",SP21,181,70.2%,77.4%,7.63,B+ (3.35)
,"Schmidt, Valerie A",SP20,309,73.9%,74.6%,8.49,B+ (3.66)
,"Schmidt, Valerie A",WI19,382,80.6%,91.5%,8.07,C+ (2.63)
,"Schmidt, Valerie A",WI18,361,86.5%,95.7%,8.15,B (3.16)
,"Ferguson, Fleur",SP21,168,58.3%,55.7%,8.91,B (3.09)
,"Ternansky, Robert J.",WI21,164,72.3%,68.3%,8.99,B- (2.79)
,"Ternansky, Robert J.",WI20,133,78.5%,92.2%,8.65,B- (2.79)
,"Ternansky, Robert J.",WI20,234,70.9%,85.7%,9.74,B- (2.71)
,"Ternansky, Robert J.",WI19,58,63.3%,75.9%,8.83,C+ (2.69)
,"Ternansky, Robert J.",WI18,110,78.8%,92.3%,9.06,B- (2.73)
,"Burkart, Michael D",WI21,214,78.5%,94.1%,8.26,B (3.09)
,"Albizati, Kim F.",SP20,419,86.4%,97.2%,7.68,B (3.27)
,"Siegel, Dionicio R.",SP19,301,90.9%,96.2%,6.11,B (3.10)
,"Lacoske, Michelle Hill",S218,119,81.8%,95.5%,11.59,B- (2.86)
CHEM 40A,"Hopkins, Patrycja Anna",FA21,200,82.8%,89.7%,7.08,B- (2.76)
,"Hopkins, Patrycja Anna",S121,103,92.9%,82.1%,11.21,B- (2.76)
,"Bertrand, Guy",FA21,315,90.8%,98.6%,7.13,B (3.02)
,"Bertrand, Guy",FA21,242,90.0%,96.3%,7.58,B- (2.95)
,"Bertrand, Guy",WI21,244,94.2%,98.3%,6.47,B- (2.92)
,"Bertrand, Guy",WI21,241,95.7%,100.0%,6.43,B- (2.93)
,"Bertrand, Guy",WI20,299,95.7%,97.8%,6.01,B+ (3.63)
,"Bertrand, Guy",WI20,264,92.3%,97.7%,6.22,B+ (3.52)
,"Bertrand, Guy",WI19,359,92.2%,97.9%,6.44,B- (2.89)
,"Bertrand, Guy",WI18,362,93.6%,98.4%,6.05,B- (2.84)
,"Albizati, Kim F.",FA21,195,77.9%,90.9%,9.01,B- (2.79)
,"Albizati, Kim F.",FA21,339,80.3%,87.4%,8.62,B- (2.91)
,"Albizati, Kim F.",SP21,259,79.0%,95.0%,7.40,B- (2.78)
,"Albizati, Kim F.",FA20,411,86.9%,95.5%,7.64,B- (2.93)
,"Albizati, Kim F.",FA20,268,82.8%,94.5%,8.04,B- (2.87)
,"Albizati, Kim F.",FA19,404,85.8%,96.4%,7.94,C+ (2.66)
,"Albizati, Kim F.",SP19,245,91.0%,98.9%,6.54,C+ (2.67)
,"Albizati, Kim F.",WI18,340,92.1%,96.8%,7.17,C+ (2.69)
,"Klosterman, Jeremy K",S221,69,88.1%,89.7%,10.43,B- (2.73)
,"Klosterman, Jeremy K",FA18,126,91.6%,94.7%,7.64,B- (2.79)
,"Klosterman, Jeremy K",S218,56,93.9%,97.0%,10.86,B- (2.73)
,"Klosterman, Jeremy K",S118,78,80.0%,70.0%,12.10,B- (2.76)
,"Klosterman, Jeremy K",FA17,137,73.3%,65.0%,8.30,C+ (2.62)
,"Oconnor, Joseph M.",FA20,159,61.3%,56.0%,9.57,C+ (2.43)
,"Oconnor, Joseph M.",FA19,112,79.2%,81.3%,8.20,C+ (2.44)
,"Oconnor, Joseph M.",FA19,300,71.8%,71.6%,8.69,C+ (2.49)
,"Oconnor, Joseph M.",FA18,280,71.1%,73.6%,9.15,C+ (2.52)
,"Oconnor, Joseph M.",FA17,319,84.0%,78.7%,10.49,C+ (2.53)
,"Hoeger, Carl",FA20,340,72.5%,68.9%,9.02,B- (2.78)
,"Hoeger, Carl",S120,125,78.8%,77.4%,11.19,B (3.12)
,"Hoeger, Carl",SP20,190,60.8%,59.5%,8.45,B (3.20)
,"Hoeger, Carl",WI20,134,74.5%,88.0%,7.93,B (3.28)
,"Hoeger, Carl",WI19,189,82.4%,77.0%,7.78,C+ (2.59)
,"Hoeger, Carl",FA18,341,78.6%,81.6%,9.47,B (3.03)
,"Hoeger, Carl",SP18,242,77.3%,76.1%,8.28,B- (2.73)
,"Hoeger, Carl",FA17,317,81.1%,83.8%,9.63,B (3.02)
,"Perrin, Charles L.",FA20,102,73.2%,69.1%,7.48,C+ (2.32)
,"Perrin, Charles L.",FA19,294,70.7%,68.9%,8.03,C+ (2.46)
,"Perrin, Charles L.",FA18,232,75.0%,72.8%,8.61,C+ (2.63)
,"Perrin, Charles L.",FA17,341,73.7%,80.9%,8.31,C+ (2.45)
,"Ternansky, Robert J.",S220,52,64.7%,70.6%,14.85,C+ (2.63)
,"Yang, Jerry",FA19,144,76.6%,79.2%,8.71,C+ (2.66)
,"Yang, Jerry",FA17,105,75.0%,68.2%,8.41,C+ (2.66)
,"Kim, John Hyun Joon",S219,84,96.3%,100.0%,9.75,B- (2.96)
,"Peacock, Riley",S119,93,85.7%,90.5%,10.43,B- (2.76)
,"Hirschauer, Sonia S",FA18,227,84.4%,98.3%,7.42,C+ (2.62)
CHEM 100BL,"Pomeroy, Robert S.",SP14,22,71.4%,100.0%,10.21,B- (2.97)
,"Pomeroy, Robert S.",WI14,7,100.0%,100.0%,8.50,N/A
,"Pomeroy, Robert S.",FA13,15,75.0%,75.0%,10.00,N/A
,"Pomeroy, Robert S.",SP13,29,92.3%,100.0%,7.27,B+ (3.33)
,"Pomeroy, Robert S.",WI13,22,100.0%,87.5%,8.25,B (3.28)
,"Pomeroy, Robert S.",FA12,23,87.5%,87.5%,7.25,B (3.20)
,"Pomeroy, Robert S.                 ",SP12,24,88.9%,88.9%,8.28,B (3.04)
,"Pomeroy, Robert S.                 ",WI12,16,100.0%,100.0%,7.75,N/A
,"Pomeroy, Robert S.                 ",FA11,13,100.0%,100.0%,10.50,N/A
,"Pomeroy, Robert S.                 ",SP11,15,100.0%,100.0%,9.00,N/A
,"Pomeroy, Robert S.                 ",WI11,20,75.0%,83.3%,8.50,B+ (3.49)
,"Pomeroy, Robert S.                 ",FA10,14,100.0%,100.0%,5.00,N/A
,"Pomeroy, Robert S.                 ",SP10,13,75.0%,75.0%,10.10,N/A
,"Pomeroy, Robert S.                 ",WI10,14,83.3%,100.0%,9.17,N/A
,"Pomeroy, Robert S.                 ",SP09,24,81.8%,87.0%,8.50,B+ (3.54)
CHEM 149A,"Bertram, Timothy                   ",FA11,72,94.1%,85.3%,6.79,B (3.02)
,"Bertram, Timothy                   ",FA10,56,88.6%,91.4%,5.59,B (3.14)
,"Russell, Lynn M.                   ",SU10,33,88.9%,100.0%,5.61,N/A
,"Pomeroy, Robert S.                 ",FA09,75,96.5%,94.8%,4.84,B (3.20)
,"Prather, Kimberly A                ",FA08,60,97.7%,95.5%,4.94,C+ (2.51)
,"Prather, Kimberly A           ",FA07,67,100.0%,100.0%,4.14,C (2.28)
CHEM 149B,"Pomeroy, Robert S.                 ",WI12,32,100.0%,100.0%,5.90,B (3.09)
,"Pomeroy, Robert S.                 ",WI11,25,100.0%,100.0%,4.83,B+ (3.47)
,"Pomeroy, Robert S.                 ",WI10,28,95.2%,100.0%,5.45,B (3.09)
,"Pomeroy, Robert S.",WI09,34,92.3%,92.3%,5.96,B (3.01)
,"Pomeroy, Robert S.            ",WI08,41,88.0%,88.0%,4.74,B- (2.88)
CHEM 6BL,"Berniolles, Sandrine               ",SU10,188,66.7%,90.1%,12.86,N/A
,"Berniolles, Sandrine               ",SP10,267,73.4%,77.3%,8.84,B- (2.97)
,"Berniolles, Sandrine               ",SP10,247,69.6%,79.8%,8.97,B- (2.97)
,"Berniolles, Sandrine               ",WI10,242,70.5%,78.7%,8.34,B- (2.88)
,"Berniolles, Sandrine               ",WI10,239,72.5%,78.0%,8.57,B- (2.88)
,"Berniolles, Sandrine               ",FA09,253,58.1%,77.3%,8.20,B- (2.87)
,"Berniolles, Sandrine               ",FA09,253,59.8%,83.7%,9.62,B- (2.87)
,"Berniolles, Sandrine               ",SU09,158,67.8%,89.7%,11.96,N/A
,"Berniolles, Sandrine               ",SP09,242,51.9%,94.3%,9.25,B- (2.94)
,"Berniolles, Sandrine               ",SP09,236,52.9%,88.2%,10.38,B- (2.94)
,"Berniolles, Sandrine               ",FA08,248,59.8%,86.6%,10.59,B- (2.99)
,"Berniolles, Sandrine               ",FA08,245,72.4%,86.2%,9.19,B- (2.99)
,"Berniolles, Sandrine               ",SU08,124,74.6%,90.5%,11.60,N/A
,"Berniolles, Sandrine",WI09,240,65.0%,90.0%,7.56,B- (2.95)
,"Berniolles, Sandrine",WI09,226,63.0%,88.9%,8.65,B- (2.95)
,"Berniolles, Sandrine          ",SP08,241,63.5%,96.2%,9.05,B- (2.95)
,"Berniolles, Sandrine          ",SP08,224,55.0%,95.0%,9.45,B- (2.95)
,"Berniolles, Sandrine          ",WI08,223,66.1%,95.2%,8.25,B- (2.99)
,"Berniolles, Sandrine          ",WI08,179,61.1%,91.9%,9.85,B- (2.99)
,"Berniolles, Sandrine          ",FA07,221,58.3%,91.7%,9.92,B (3.03)
,"Berniolles, Sandrine          ",FA07,259,55.6%,96.3%,8.43,B (3.03)
,"Ball, Ian James               ",SU07,83,50.9%,70.7%,12.50,N/A
CHEM 114C,"Komives, Elizabeth A",SP21,252,82.5%,72.6%,7.50,B+ (3.66)
,"Joseph, Simpson",WI21,60,88.5%,80.0%,7.73,B- (2.78)
,"Joseph, Simpson",SP19,252,71.3%,72.3%,7.09,C+ (2.50)
,"Joseph, Simpson",SP18,214,76.9%,75.0%,7.39,C+ (2.54)
,"Joseph, Simpson",SP17,191,86.0%,84.0%,6.24,B- (2.71)
,"Joseph, Simpson",SP16,148,77.3%,61.4%,6.95,B- (2.70)
,"Joseph, Simpson",SP15,174,88.0%,86.0%,6.24,B- (2.81)
,"Joseph, Simpson",SP14,204,76.8%,76.8%,8.03,C+ (2.65)
,"Joseph, Simpson",SP13,337,93.0%,92.2%,6.09,C+ (2.45)
,"Toor, Navtej",SP20,266,83.9%,78.5%,7.47,B+ (3.33)
,"Joseph, Simpson                    ",SP12,299,93.1%,88.8%,6.68,B- (2.91)
,"Hoffmann, Alexander                ",SP11,196,88.7%,91.5%,7.53,C+ (2.66)
,"Hoffmann, Alexander                ",SP10,201,87.5%,90.0%,6.68,B- (2.71)
,"Hoffmann, Alexander                ",SP09,201,92.7%,98.8%,5.69,C+ (2.62)
,"Hoffmann, Alexander           ",SP08,180,86.0%,95.3%,5.64,B- (2.72)
CHEM 104,"Viadiu, Hector                     ",WI11,17,63.6%,81.8%,5.77,N/A
CHEM 143AM,"Weizman, Haim",WI16,64,91.2%,94.1%,8.09,B- (2.97)
CHEM 143AH,"Albizati, Kim F.",FA13,76,96.9%,93.8%,8.30,B+ (3.49)
,"Albizati, Kim F.",WI13,60,90.0%,97.5%,9.01,B+ (3.39)
,"Albizati, Kim F.",FA12,68,87.9%,93.9%,7.41,B+ (3.41)
,"Weizman, Haim                      ",WI11,52,91.4%,94.3%,9.01,B+ (3.35)
,"Weizman, Haim                      ",WI10,42,91.7%,95.8%,7.92,B (3.22)
,"Weizman, Haim",WI09,40,81.8%,90.9%,9.41,B (3.21)
,"Weizman, Haim                 ",WI08,40,76.0%,100.0%,10.34,B+ (3.44)
CHEM 140C,"Ternansky, Robert J.",S217,52,100.0%,100.0%,13.90,B- (2.72)
,"Ternansky, Robert J.",SP14,120,95.3%,93.8%,10.23,C+ (2.69)
,"Ternansky, Robert J.",SP13,77,87.2%,100.0%,9.03,C+ (2.67)
,"Hoeger, Carl",S117,117,75.0%,77.1%,10.83,B- (2.97)
,"Hoeger, Carl",SP16,195,83.3%,80.8%,8.53,B (3.08)
,"Hoeger, Carl",SP15,111,72.3%,83.0%,8.23,B- (2.89)
,"Hoeger, Carl",SP14,299,83.7%,84.8%,9.65,B (3.04)
,"Hermann, Thomas",SP17,228,87.1%,88.2%,7.23,B- (2.81)
,"Hermann, Thomas",FA16,283,90.0%,96.4%,6.63,B (3.01)
,"Hermann, Thomas",FA15,204,83.9%,89.5%,7.95,B- (2.76)
,"Hermann, Thomas",FA14,275,86.0%,91.7%,7.32,B- (2.76)
,"Hermann, Thomas",FA13,173,78.5%,87.7%,6.87,C+ (2.60)
,"Hermann, Thomas",FA12,297,86.0%,87.9%,7.24,B (3.01)
,"Albizati, Kim F.",SP17,358,79.1%,91.8%,8.37,C+ (2.69)
,"Albizati, Kim F.",S216,162,97.0%,100.0%,11.17,B- (2.80)
,"Albizati, Kim F.",S116,96,94.1%,100.0%,10.74,C+ (2.66)
,"Albizati, Kim F.",SP16,403,85.8%,93.3%,7.97,B- (2.72)
,"Albizati, Kim F.",S215,117,92.0%,100.0%,10.17,C+ (2.68)
,"Albizati, Kim F.",S115,101,85.0%,100.0%,11.40,C+ (2.61)
,"Albizati, Kim F.",SP15,383,88.0%,94.9%,8.21,B- (2.74)
,"Albizati, Kim F.",S214,173,85.4%,97.6%,10.26,C+ (2.59)
,"Albizati, Kim F.",S114,127,86.7%,100.0%,11.83,B- (2.72)
,"Albizati, Kim F.",S213,116,100.0%,94.7%,8.71,C+ (2.62)
,"Albizati, Kim F.",S113,81,88.2%,100.0%,10.85,B- (2.74)
,"Albizati, Kim F.",SP13,394,88.6%,95.5%,7.17,C+ (2.66)
,"Albizati, Kim F.",WI09,259,91.7%,100.0%,6.16,C+ (2.68)
,"Godula, Kamil",WI17,203,85.5%,87.6%,7.36,C+ (2.47)
,"Godula, Kamil",WI16,184,87.1%,92.9%,7.36,B- (2.72)
,"Godula, Kamil",WI15,118,83.0%,87.2%,6.72,B- (2.75)
,"Whitesell, James K.",WI14,113,79.1%,76.7%,5.45,B- (2.87)
,"Jennings, Patricia A.",WI13,248,77.8%,47.8%,7.24,B (3.07)
,"Ternansky, Robert J.               ",S212,62,86.2%,86.2%,13.26,B- (2.71)
,"Ternansky, Robert J.               ",SP12,315,83.9%,88.0%,9.58,B- (2.71)
,"Ternansky, Robert J.               ",S211,37,78.6%,92.9%,13.93,C+ (2.66)
,"Ternansky, Robert J.               ",SP11,213,82.3%,86.5%,10.66,B- (2.92)
,"Ternansky, Robert J.               ",SU10,91,68.4%,83.6%,14.21,N/A
,"Ternansky, Robert J.               ",SP10,249,83.5%,87.4%,10.56,B- (2.73)
,"Ternansky, Robert J.               ",SU09,69,74.3%,93.9%,13.70,N/A
,"Ternansky, Robert J.               ",SP09,103,78.3%,94.6%,9.06,B- (2.70)
,"Albizati, Kim F.                   ",S112,221,86.6%,100.0%,11.26,B- (2.73)
,"Albizati, Kim F.                   ",SP12,410,84.4%,98.1%,8.13,C+ (2.68)
,"Albizati, Kim F.                   ",S111,300,87.3%,99.0%,11.03,B- (2.72)
,"Albizati, Kim F.                   ",SP10,367,85.7%,99.4%,7.46,C+ (2.63)
,"Albizati, Kim F.                   ",WI10,360,82.8%,97.5%,7.57,C+ (2.54)
,"Albizati, Kim F.                   ",SP09,353,85.4%,99.1%,6.26,B- (2.77)
,"Jennings, Patricia A.              ",WI12,284,79.1%,56.4%,5.91,B (3.11)
,"Jennings, Patricia A.              ",WI11,331,83.8%,45.4%,6.39,B- (2.98)
,"Hermann, Thomas                    ",FA11,348,83.5%,85.7%,8.00,C+ (2.55)
,"Hermann, Thomas                    ",FA10,350,86.1%,87.3%,7.46,C+ (2.48)
,"Hermann, Thomas                    ",FA09,279,86.7%,89.7%,6.59,B- (2.73)
,"Hermann, Thomas                    ",FA08,297,75.9%,82.2%,6.28,C+ (2.68)
,"Hoeger, Carl                       ",SP11,321,80.8%,85.6%,8.97,B (3.13)
,"Finn, Michael",SP08,194,83.0%,88.7%,6.99,B (3.10)
