Course Code,Professor,Quarter,Enrolled Count,Course Rec %,Prof Rec %,Hours/Week,Grade
,"Ternansky, Robert J.",SP14,108,86.1%,86.1%,8.16,B (3.25)
,"Ternansky, Robert J.",WI14,98,95.6%,84.4%,7.15,B+ (3.32)
,"Ternansky, Robert J.",SP13,120,81.1%,90.6%,6.77,B+ (3.49)
,"Ternansky, Robert J.",WI13,124,87.8%,91.9%,6.11,B+ (3.49)
,"Ternansky, Robert J.",WI09,74,76.1%,79.1%,7.34,B (3.14)
,"Weizman, Haim",WI20,130,55.8%,80.4%,6.85,B (3.25)
,"Albizati, Kim F.",WI16,86,94.1%,97.1%,5.83,B (3.14)
,"Ternansky, Robert J.               ",S112,45,88.9%,86.1%,9.44,B+ (3.51)
,"Ternansky, Robert J.               ",SP12,121,91.4%,92.9%,6.90,B+ (3.31)
,"Ternansky, Robert J.               ",WI12,104,86.8%,79.2%,6.73,B (3.29)
,"Ternansky, Robert J.               ",S111,23,95.0%,100.0%,6.50,B+ (3.41)
,"Ternansky, Robert J.               ",SP11,99,73.5%,81.3%,8.34,B (3.29)
,"Ternansky, Robert J.               ",WI11,75,83.3%,83.3%,9.38,B (3.20)
,"Ternansky, Robert J.               ",SU10,22,92.9%,92.9%,8.07,N/A
,"Ternansky, Robert J.               ",SP10,84,73.9%,78.3%,7.15,B+ (3.38)
,"Ternansky, Robert J.               ",WI10,68,83.3%,83.3%,9.37,B (3.27)
,"Ternansky, Robert J.               ",SU09,20,92.3%,92.3%,6.81,N/A
,"Ternansky, Robert J.               ",SP09,97,93.4%,93.5%,6.37,B (3.23)
,"Ternansky, Robert J.               ",SU08,20,100.0%,94.7%,7.97,N/A
,"Ternansky, Robert J.          ",SP08,97,89.3%,93.2%,5.77,B (3.27)
,"Ternansky, Robert J.          ",WI08,100,83.8%,91.9%,5.55,B (3.22)
CHEM 143A,"Weizman, Haim",S117,107,97.2%,94.3%,10.50,B- (2.97)
,"Weizman, Haim",WI17,449,78.1%,82.0%,6.88,B- (2.98)
,"Weizman, Haim",S116,132,84.0%,84.0%,11.30,B- (2.97)
,"Weizman, Haim",S115,72,100.0%,90.0%,9.70,B (3.07)
,"Weizman, Haim",S114,57,90.9%,90.9%,11.05,B (3.00)
,"Weizman, Haim",SP14,335,92.2%,85.4%,6.32,B- (2.97)
,"Weizman, Haim",FA13,391,86.9%,91.0%,7.36,B (3.00)
,"Weizman, Haim",SP13,438,87.7%,90.3%,7.02,B (3.05)
,"Weizman, Haim",FA12,439,85.3%,94.1%,6.86,B (3.03)
,"Ternansky, Robert J.",SP17,418,82.0%,85.1%,6.53,B (3.09)
,"Ternansky, Robert J.",WI16,404,78.7%,64.9%,7.17,B (3.11)
,"Ternansky, Robert J.",FA15,410,82.7%,85.1%,6.63,B (3.09)
,"Ternansky, Robert J.",WI15,306,87.7%,87.7%,6.50,B (3.08)
,"Ternansky, Robert J.",WI13,398,86.8%,87.3%,7.00,B (3.10)
,"Ternansky, Robert J.",WI09,359,70.2%,68.2%,6.40,B (3.09)
,"Cao, Kevin Jay",FA16,460,86.8%,89.5%,5.93,B (3.21)
,"Albizati, Kim F.",SP16,458,88.0%,98.0%,6.51,B (3.03)
,"Albizati, Kim F.",SP15,89,96.6%,100.0%,8.22,B (3.05)
,"Albizati, Kim F.",SP15,367,90.8%,96.7%,6.42,B (3.05)
,"Albizati, Kim F.",WI15,106,89.5%,94.7%,7.74,B (3.11)
,"Albizati, Kim F.",FA14,117,89.3%,100.0%,6.35,B- (2.99)
,"Albizati, Kim F.",FA14,335,87.0%,98.3%,7.45,B- (2.99)
,"Albizati, Kim F.",WI14,415,95.4%,96.7%,6.97,B (3.02)
,"Weizman, Haim                      ",S112,90,84.0%,92.0%,12.26,B- (2.99)
,"Weizman, Haim                      ",SP12,441,86.5%,91.9%,8.30,B- (2.99)
,"Weizman, Haim                      ",FA11,453,89.5%,90.6%,8.53,B (3.04)
,"Weizman, Haim                      ",S111,86,87.5%,90.6%,10.81,B (3.08)
,"Weizman, Haim                      ",SP11,456,90.5%,91.6%,7.73,B- (2.99)
,"Weizman, Haim                      ",FA10,457,85.1%,87.1%,8.04,B (3.04)
,"Weizman, Haim                      ",SU10,92,94.6%,88.9%,11.58,N/A
,"Weizman, Haim                      ",SP10,395,84.5%,83.5%,8.29,B (3.01)
,"Weizman, Haim                      ",FA09,468,81.4%,93.0%,7.67,B (3.02)
,"Weizman, Haim                      ",SU09,85,83.3%,93.3%,11.03,N/A
,"Weizman, Haim                      ",SP09,390,86.1%,92.7%,6.53,B (3.01)
,"Weizman, Haim                      ",FA08,437,88.9%,96.8%,6.55,B- (2.95)
,"Weizman, Haim                      ",SU08,78,92.4%,93.8%,10.96,N/A
,"Ternansky, Robert J.               ",WI12,442,84.7%,81.3%,7.52,B (3.10)
,"Ternansky, Robert J.               ",WI11,428,80.5%,83.3%,8.40,B (3.10)
,"Ternansky, Robert J.               ",WI10,373,76.4%,92.1%,6.34,B (3.11)
,"Weizman, Haim                 ",SP08,384,90.4%,95.5%,6.30,B (3.01)
,"Weizman, Haim                 ",FA07,387,84.8%,95.8%,6.88,B- (2.98)
,"Weizman, Haim                 ",SU07,76,89.4%,100.0%,11.01,N/A
,"Ternansky, Robert J.          ",WI08,309,78.2%,84.4%,5.21,B (3.11)
CHEM 158,"Perrin, Charles L.",WI21,8,100.0%,100.0%,3.83,N/A
,"Perrin, Charles L.",WI19,12,100.0%,100.0%,5.83,N/A
,"Perrin, Charles L.",WI17,6,75.0%,100.0%,10.00,N/A
,"Perrin, Charles L.",SP15,11,66.7%,88.9%,6.28,N/A
,"Perrin, Charles L.",SP13,21,80.0%,100.0%,6.30,B (3.29)
,"Molinski, Tadeusz",SP20,13,66.7%,88.9%,6.06,N/A
,"Molinski, Tadeusz",SP14,9,60.0%,40.0%,7.30,N/A
,"Molinski, Tadeusz                  ",SP12,10,100.0%,100.0%,9.17,N/A
,"Perrin, Charles L.                 ",SP11,6,100.0%,100.0%,6.00,N/A
CHEM 155,"Romero, Nathan A",WI21,13,100.0%,100.0%,8.50,N/A
,"Schmidt, Valerie A",WI21,13,100.0%,100.0%,8.50,N/A
,"Schmidt, Valerie A",SP20,18,100.0%,100.0%,5.39,N/A
,"Schmidt, Valerie A",WI19,8,100.0%,100.0%,3.00,N/A
,"Schmidt, Valerie A",WI17,8,80.0%,80.0%,3.70,N/A
,"Guerrero, Carlos Ariel             ",WI12,10,100.0%,100.0%,10.50,N/A
,"Theodorakis, Emmanouil             ",WI12,10,100.0%,80.0%,10.00,N/A
CHEM 43AM,"Klosterman, Jeremy K",FA20,41,91.4%,94.3%,6.84,B- (2.91)
CHEM 157,"Burkart, Michael D",SP21,50,94.4%,97.2%,6.89,B+ (3.54)
,"Burkart, Michael D",SP20,50,95.1%,100.0%,5.91,B+ (3.42)
,"Burkart, Michael D",SP19,39,100.0%,100.0%,5.17,B (3.26)
,"Burkart, Michael D",SP18,45,79.2%,87.5%,5.92,B (3.22)
